census_tract,county,race_ethnicity,action_taken,rate_spread
13135050746,Gwinnett,Asian,1,0.112
13057090603,Cherokee,White,1,-0.866
13117130306,Forsyth,Asian,1,1.123
13121011423,Fulton,White,1,-0.018
13067030405,Cobb,White,1,1.035
13117130603,Forsyth,Asian,1,0.227
13121011443,Fulton,White,1,-1.003
13117130301,Forsyth,Asian,1,-0.973
13089021819,DeKalb,Unknown or other,1,-0.063
13063040631,Clayton,Black,3,
13121008907,Fulton,Unknown or other,1,-0.765
13113140305,Fayette,Black,1,-0.623
13121005501,Fulton,Unknown or other,1,-0.254
13057091013,Cherokee,Hispanic,3,
13063040525,Clayton,Black,1,0.005
13121002900,Fulton,Black,1,-0.868
13135050308,Gwinnett,White,1,-1.675
13135050567,Gwinnett,Asian,1,-0.509
13057091001,Cherokee,White,1,-0.176
13057091001,Cherokee,White,1,0.112
13057090810,Cherokee,White,1,-0.049
13151070214,Henry,White,1,-0.494
13121009409,Fulton,Asian,1,-0.834
13121011509,Fulton,Unknown or other,3,
13057091007,Cherokee,White,1,-0.005
13089023113,DeKalb,White,1,-0.115
13067031514,Cobb,White,1,0.237
13057090507,Cherokee,White,1,-0.242
13121011100,Fulton,Hispanic,1,1.187
13117130605,Forsyth,Unknown or other,1,1.083
13117130603,Forsyth,White,1,-0.197
13121005501,Fulton,White,1,-0.256
13121005501,Fulton,White,1,-0.022
13067031117,Cobb,Unknown or other,1,0.085
13089021808,DeKalb,Black,1,0.491
13057091001,Cherokee,White,1,-0.34
13057091001,Cherokee,White,1,0.25
13089023108,DeKalb,Asian,3,
13057091001,Cherokee,White,1,-0.436
13089021819,DeKalb,Asian,1,0.799
13089023430,DeKalb,Black,1,0.063
13135050560,Gwinnett,Unknown or other,1,0.7
13089021819,DeKalb,Asian,1,0.519
13067030242,Cobb,Black,1,-0.11
13089021224,DeKalb,White,1,0.257
13067030242,Cobb,Black,1,-0.858
13113140502,Fayette,White,3,
13117130301,Forsyth,Asian,1,-1.63
13057091001,Cherokee,Unknown or other,1,-0.875
13057091013,Cherokee,Asian,1,-0.885
13057091001,Cherokee,White,1,-1.027
13067031219,Cobb,Black,1,-0.116
13117130104,Forsyth,White,3,
13121011618,Fulton,Asian,1,-0.169
13067030250,Cobb,Black,1,-0.678
13057091013,Cherokee,Black,1,0.002
13067030104,Cobb,White,1,0.495
13057091001,Cherokee,White,1,-1.197
13057091001,Cherokee,White,1,-1.214
13113140104,Fayette,Black,3,
13057090303,Cherokee,White,1,-0.062
13151070504,Henry,White,1,0.74
13057090303,Cherokee,White,1,-1.2
13057090303,Cherokee,White,1,1.323
13067030104,Cobb,Unknown or other,1,0.102
13117130301,Forsyth,Asian,1,-0.575
13057091001,Cherokee,White,1,-0.839
13067030242,Cobb,Black,1,-0.28
13067030341,Cobb,White,1,-0.606
13135050529,Gwinnett,Unknown or other,1,-1.303
13121011444,Fulton,White,1,-0.365
13057091012,Cherokee,White,1,0.007
13089021224,DeKalb,Asian,1,-1.597
13057090507,Cherokee,White,1,-1.059
13057091001,Cherokee,White,1,0.778
13089021224,DeKalb,Black,1,-2
13057091001,Cherokee,White,1,-0.126
13089021224,DeKalb,Asian,1,-0.999
13121007703,Fulton,Black,1,-0.059
13135050333,Gwinnett,White,1,-0.24
13089023438,DeKalb,Black,3,
13135050427,Gwinnett,Black,1,0.255
13057091014,Cherokee,White,1,0.785
13117130301,Forsyth,Asian,1,-0.145
13067030104,Cobb,White,1,-0.77
13067030257,Cobb,White,3,
13057091001,Cherokee,White,1,0.293
13089022502,DeKalb,Hispanic,1,-0.349
13057091001,Cherokee,White,1,0.051
13121011618,Fulton,Unknown or other,1,-0.12
13121010133,Fulton,Asian,3,
13135050588,Gwinnett,White,1,0.307
13089022001,DeKalb,White,1,-0.152
13121005300,Fulton,Asian,1,-0.625
13135050520,Gwinnett,Unknown or other,1,-0.339
13057091001,Cherokee,White,1,-0.029
13067030108,Cobb,Unknown or other,1,-0.555
13121011309,Fulton,Black,1,1.403
13057090606,Cherokee,White,1,-0.867
13135050234,Gwinnett,Asian,1,-0.11
13057091012,Cherokee,White,1,0.293
13063040302,Clayton,Hispanic,1,0.14
13089023437,DeKalb,Black,1,0.103
13067030242,Cobb,Asian,1,-2.165
13097080506,Douglas,Hispanic,3,
13135050459,Gwinnett,Asian,1,0.146
13135050244,Gwinnett,Asian,1,-1.091
13135050753,Gwinnett,White,1,0.795
13121011444,Fulton,White,3,
13067030242,Cobb,Asian,1,-1.174
13135050234,Gwinnett,Asian,1,-0.873
13089020100,DeKalb,White,3,
13067030104,Cobb,White,1,-0.976
13057090303,Cherokee,White,1,-0.408
13121010508,Fulton,Black,1,0.058
13113140307,Fayette,White,1,-0.244
13089021819,DeKalb,Black,1,-0.87
13067030275,Cobb,Asian,1,-0.505
13121010003,Fulton,Unknown or other,1,-0.046
13067030412,Cobb,Black,1,-1.25
13067031515,Cobb,Black,1,-0.214
13089021224,DeKalb,Asian,1,-0.108
13057090808,Cherokee,Asian,1,0.174
13121008602,Fulton,Black,1,0.157
13121008905,Fulton,Black,1,2.492
13057090808,Cherokee,White,1,0.369
13121008602,Fulton,Unknown or other,1,-0.046
13121008602,Fulton,Unknown or other,1,0.639
13135050611,Gwinnett,Asian,1,-0.068
13057091105,Cherokee,Unknown or other,1,1.073
13057090808,Cherokee,White,1,-0.189
13057091105,Cherokee,Black,1,0.374
13057091104,Cherokee,Asian,1,0.257
13067030274,Cobb,White,1,0.188
13057090808,Cherokee,White,1,0.887
13151070313,Henry,Black,1,0.551
13057091105,Cherokee,White,1,-0.119
13135050611,Gwinnett,Unknown or other,1,0.232
13135050611,Gwinnett,Asian,1,0.871
13057091105,Cherokee,Asian,1,0.485
13057090808,Cherokee,White,1,0.533
13067030245,Cobb,White,1,
13057091105,Cherokee,Hispanic,1,0.659
13057090808,Cherokee,Unknown or other,1,-0.645
13057091105,Cherokee,Unknown or other,1,0.966
13057090808,Cherokee,Unknown or other,1,0.538
13057091105,Cherokee,Asian,1,0.155
13057090808,Cherokee,White,1,0.278
13057090808,Cherokee,White,1,0.801
13057091105,Cherokee,Asian,1,0.135
13057091105,Cherokee,Black,1,0.189
13057090506,Cherokee,Hispanic,1,0.209
13135050611,Gwinnett,White,1,0.547
13057091105,Cherokee,Asian,1,0.735
13135050611,Gwinnett,Asian,1,-0.454
13121005501,Fulton,Unknown or other,1,-0.106
13057091105,Cherokee,White,1,0.524
13057091105,Cherokee,Hispanic,1,0.324
13121005504,Fulton,Unknown or other,1,0.351
13121005504,Fulton,Black,1,0.622
13117130506,Forsyth,Hispanic,1,0.285
13121011511,Fulton,Unknown or other,1,0.192
13057090808,Cherokee,White,1,-0.089
13121008602,Fulton,Black,1,1.095
13121005504,Fulton,Unknown or other,1,0.81
13057090808,Cherokee,Unknown or other,1,0.93
13117130304,Forsyth,Unknown or other,1,0.084
13121005504,Fulton,Unknown or other,1,0.265
13057090506,Cherokee,Unknown or other,1,-0.103
13057091105,Cherokee,White,1,0.251
13057090808,Cherokee,Unknown or other,1,-0.027
13135050611,Gwinnett,Hispanic,1,-0.08
13135050611,Gwinnett,Asian,1,0.718
13135050549,Gwinnett,Asian,1,0.405
13121011646,Fulton,White,1,0.671
13057090808,Cherokee,Asian,1,0.152
13057090506,Cherokee,White,1,0.449
13135050611,Gwinnett,Unknown or other,1,0.953
13057091105,Cherokee,Asian,1,1.39
13121011436,Fulton,White,1,-4.842
13067031111,Cobb,Unknown or other,3,
13089021910,DeKalb,Black,3,
13135050616,Gwinnett,Hispanic,3,
13121002900,Fulton,White,1,-3.047
13057091001,Cherokee,White,1,-2.452
13057090402,Cherokee,Unknown or other,1,-0.473
13089022100,DeKalb,Hispanic,1,-3.28
13089021224,DeKalb,Asian,1,-1.084
13057091013,Cherokee,Asian,1,-0.572
13057091001,Cherokee,Unknown or other,1,0.193
13067030242,Cobb,Asian,1,-1.583
13057090202,Cherokee,White,1,0.168
13067030104,Cobb,White,1,1.182
13067030412,Cobb,Black,1,-1.051
13089021224,DeKalb,Asian,1,-1.712
13067030327,Cobb,Black,1,
13089021819,DeKalb,Asian,1,0.08
13067030242,Cobb,White,1,-2.22
13057091013,Cherokee,Asian,1,-1.903
13089022100,DeKalb,Asian,1,-1.998
13113140210,Fayette,Black,1,0.423
13067030108,Cobb,White,1,-0.862
13135050521,Gwinnett,White,3,
13121002900,Fulton,White,1,-3.063
13121002900,Fulton,Unknown or other,1,-2.113
13121000100,Fulton,White,1,-0.122
13089022100,DeKalb,Asian,1,-1.431
13121000400,Fulton,White,1,-2.16
13063040609,Clayton,Unknown or other,3,
13135050623,Gwinnett,Asian,1,
13151070315,Henry,Black,1,
13247060408,Rockdale,Black,1,
13121011658,Fulton,White,1,
13089023324,DeKalb,Black,3,
13135050719,Gwinnett,Black,3,
13135050743,Gwinnett,Hispanic,1,-0.029
13135050112,Gwinnett,Asian,3,
